S_TKR,S_DTE,S_ADJ_PRECLOSEPRICE,S_ADJ_OPENPRICE,S_ADJ_HIGHPRICE,S_ADJ_LOWPRICE,S_ADJ_CLOSEPRICE,S_ADJ_FACTOR,S_CLOSEPRICE,S_OPENPRICE,S_HIGHPRICE,S_LOWPRICE,S_TURNVOLUME,S_TURNAMOUNT,S_RPT_DTE,S_TOT_OPER_REV,S_NET_PROFIT_EXCL,S_TOT_ASSETS,S_TOT_LIAB,S_TOT_CUR_LIAB,S_TOT_NON_CUR_LIAB,S_TOT_RIGHTS,S_TOT_LONG_LIAB,S_TOT_MV,S_FLOAT_MV,S_PE,S_PB,S_PE_TTM,S_TOT_SHR,S_A_SHR,S_FLOAT_SHR,S_TY_TOT_OPER_REV,S_TY_NET_PROFIT_EXCL,S_P3Y_TOT_OPER_REV,S_P3Y_NET_PROFIT_EXCL,S_WEIGHT300,S_WEIGHT500,S_CITICS_INDUSTRY_L1,S_DELIST,S_STSTATE
000001.SZ,20130104,579.5,590.35,595.05,575.88,578.41,36.173287,15.99,16.32,16.45,15.92,44385137,717567546.6,20000630.0,953026282.0,177952845.0,,,,,,,81922373152.0,49654685165.0,7.9702,1.0087,6.3855,5123350416.0,3105358672.0,2583887810.0,,,,,0.793,0.0,40.0,0.0,0.0
000001.SZ,20130107,578.41,578.05,591.43,574.43,589.62,36.173287,16.3,15.98,16.35,15.88,35716925,578450487.6,20000630.0,953026282.0,177952845.0,,,,,,,83510611781.0,50617346354.0,8.1247,1.0283,6.5093,5123350416.0,3105358672.0,2583887810.0,,,,,0.791,0.0,40.0,0.0,0.0
000001.SZ,20130108,589.62,589.62,592.16,573.71,578.77,36.173287,16.0,16.3,16.37,15.86,31247912,501360093.7,20000630.0,953026282.0,177952845.0,,,,,,,81973606656.0,49685738752.0,7.9751,1.0094,6.3895,5123350416.0,3105358672.0,2583887810.0,,,,,0.803,0.0,40.0,0.0,0.0
000001.SZ,20130109,578.77,577.33,579.5,571.54,573.71,36.173287,15.86,15.96,16.02,15.8,25132915,399696183.1,20000630.0,953026282.0,177952845.0,,,,,,,81256337598.0,49250988538.0,7.9054,1.0005,6.3336,5123350416.0,3105358672.0,2583887810.0,,,,,0.791,0.0,40.0,0.0,0.0
000001.SZ,20130110,573.71,573.71,582.39,571.18,574.07,36.173287,15.87,15.86,16.1,15.79,24003027,383347732.6,20000630.0,953026282.0,177952845.0,,,,,,,81307571102.0,49282042125.0,7.9104,1.0012,6.3376,5123350416.0,3105358672.0,2583887810.0,,,,,0.784,0.0,40.0,0.0,0.0
000001.SZ,20130111,574.07,574.07,580.22,558.88,562.13,36.173287,15.54,15.87,16.04,15.45,25126855,396184765.0,20000630.0,953026282.0,177952845.0,,,,,,,79616865465.0,48257273763.0,7.7459,0.9803,6.2058,5123350416.0,3105358672.0,2583887810.0,,,,,0.783,0.0,40.0,0.0,0.0
000001.SZ,20130114,562.13,560.32,618.2,560.32,618.2,36.173287,17.09,15.49,17.09,15.49,93989590,1568842025.4,20000630.0,953026282.0,177952845.0,,,,,,,87558058609.0,53070579704.0,8.5185,1.0781,6.8248,5123350416.0,3105358672.0,2583887810.0,,,,,0.781,0.0,40.0,0.0,0.0
000001.SZ,20130115,618.2,619.29,648.23,618.2,637.01,36.173287,17.61,17.12,17.92,17.09,98406443,1719308611.8,20000630.0,953026282.0,177952845.0,,,,,,,90222200826.0,54685366214.0,8.7776,1.1109,7.0325,5123350416.0,3105358672.0,2583887810.0,,,,,0.828,0.0,40.0,0.0,0.0
000001.SZ,20130116,637.01,637.01,647.86,622.9,644.61,36.173287,17.82,17.61,17.91,17.22,68270094,1198986570.1,20000630.0,953026282.0,177952845.0,,,,,,,91298104413.0,55337491535.0,8.8823,1.1242,7.1164,5123350416.0,3105358672.0,2583887810.0,,,,,0.847,0.0,40.0,0.0,0.0
000001.SZ,20130117,644.61,640.27,661.25,631.59,641.71,36.173287,17.74,17.7,18.28,17.46,67577208,1206432377.5,20000630.0,953026282.0,177952845.0,,,,,,,90888236380.0,55089062841.0,8.8424,1.1191,7.0844,5123350416.0,3105358672.0,2583887810.0,,,,,0.864,0.0,40.0,0.0,0.0
000001.SZ,20130118,641.71,646.42,666.31,636.65,663.06,36.173287,18.33,17.87,18.42,17.6,66536765,1201751657.5,20000630.0,953026282.0,177952845.0,,,,,,,93911013125.0,56921224458.0,9.1365,1.1563,7.32,5123350416.0,3105358672.0,2583887810.0,,,,,0.868,0.0,40.0,0.0,0.0
000001.SZ,20130121,663.06,661.97,712.61,650.76,712.61,36.173287,19.7,18.3,19.7,17.99,78213642,1465651627.2,20000630.0,953026282.0,177952845.0,,,,,,,1.00930003195e+11,61175565838.0,9.8194,1.2428,7.8671,5123350416.0,3105358672.0,2583887810.0,,,,,0.882,0.0,40.0,0.0,0.0
000001.SZ,20130122,712.61,703.93,756.02,699.23,740.83,36.173287,20.48,19.46,20.9,19.33,106876963,2167549633.2,20000630.0,953026282.0,177952845.0,,,,,,,1.0492621652e+11,63597745603.0,10.2082,1.292,8.1786,5123350416.0,3105358672.0,2583887810.0,,,,,0.942,0.0,40.0,0.0,0.0
000001.SZ,20130123,740.83,723.83,738.3,698.14,725.27,36.173287,20.05,20.01,20.41,19.3,63569846,1266082619.4,20000630.0,953026282.0,177952845.0,,,,,,,1.02723175841e+11,62262441374.0,9.9939,1.2649,8.0069,5123350416.0,3105358672.0,2583887810.0,,,,,0.985,0.0,40.0,0.0,0.0
000001.SZ,20130124,725.27,724.55,744.45,698.14,703.57,36.173287,19.45,20.03,20.58,19.3,85723640,1709191459.9,20000630.0,953026282.0,177952845.0,,,,,,,99649165591.0,60399226170.0,9.6948,1.227,7.7673,5123350416.0,3105358672.0,2583887810.0,,,,,0.96,0.0,40.0,0.0,0.0
000001.SZ,20130125,703.57,705.38,708.27,685.12,692.72,36.173287,19.15,19.5,19.58,18.94,61431248,1178016297.7,20000630.0,953026282.0,177952845.0,,,,,,,98112160466.0,59467618569.0,9.5453,1.2081,7.6475,5123350416.0,3105358672.0,2583887810.0,,,,,0.941,0.0,40.0,0.0,0.0
000001.SZ,20130128,692.72,693.08,762.17,693.08,762.17,36.173287,21.07,19.16,21.07,19.16,116399524,2365203176.6,20000630.0,953026282.0,177952845.0,,,,,,,1.07948993265e+11,65429907219.0,10.5023,1.3292,8.4142,5123350416.0,3105358672.0,2583887810.0,,,,,0.93,0.0,40.0,0.0,0.0
000001.SZ,20130129,762.17,770.49,779.53,746.25,773.38,36.173287,21.38,21.3,21.55,20.63,108289498,2288064728.0,20000630.0,953026282.0,177952845.0,,,,,,,1.09537231894e+11,66392568407.0,10.6568,1.3488,8.538,5123350416.0,3105358672.0,2583887810.0,,,,,0.992,0.0,40.0,0.0,0.0
000001.SZ,20130130,773.38,763.26,771.94,752.4,771.58,36.173287,21.33,21.1,21.34,20.8,58362498,1233766328.8,20000630.0,953026282.0,177952845.0,,,,,,,1.09281064373e+11,66237300474.0,10.6319,1.3456,8.5181,5123350416.0,3105358672.0,2583887810.0,,,,,0.998,0.0,40.0,0.0,0.0
000001.SZ,20130131,771.58,769.41,771.94,752.4,763.26,36.173287,21.1,21.27,21.34,20.8,41588420,873902880.8,20000630.0,953026282.0,177952845.0,,,,,,,1.08102693778e+11,65523067979.0,10.5172,1.3311,8.4262,5123350416.0,3105358672.0,2583887810.0,,,,,0.991,0.0,40.0,0.0,0.0
000001.SZ,20130201,763.26,760.36,815.71,752.04,811.37,36.173287,22.43,21.02,22.55,20.79,82408046,1793445732.3,20000630.0,953026282.0,177952845.0,,,,,,,1.14916749831e+11,69653195013.0,11.1802,1.415,8.9573,5123350416.0,3105358672.0,2583887810.0,,,,,0.981,0.0,40.0,0.0,0.0
000001.SZ,20130204,811.37,805.22,824.39,785.32,796.17,36.173287,22.01,22.26,22.79,21.71,85741999,1906659481.4,20000630.0,953026282.0,177952845.0,,,,,,,1.12764942656e+11,68348944371.0,10.9708,1.3885,8.7896,5123350416.0,3105358672.0,2583887810.0,,,,,1.02,0.0,40.0,0.0,0.0
000001.SZ,20130205,796.17,786.41,801.6,766.51,787.85,36.173287,21.78,21.74,22.16,21.19,42689100,927037954.0,20000630.0,953026282.0,177952845.0,,,,,,,1.1158657206e+11,67634711876.0,10.8562,1.374,8.6978,5123350416.0,3105358672.0,2583887810.0,,,,,1.0,0.0,40.0,0.0,0.0
000001.SZ,20130206,787.85,784.96,795.09,775.92,790.75,36.173287,21.86,21.7,21.98,21.45,38082657,827479697.3,20000630.0,953026282.0,177952845.0,,,,,,,1.11996440094e+11,67883140570.0,10.896,1.379,8.7297,5123350416.0,3105358672.0,2583887810.0,,,,,0.981,0.0,40.0,0.0,0.0
000001.SZ,20130207,790.75,784.96,788.94,734.68,754.21,36.173287,20.85,21.7,21.81,20.31,58612692,1230117762.6,20000630.0,953026282.0,177952845.0,,,,,,,1.06821856174e+11,64746728311.0,10.3926,1.3153,8.3264,5123350416.0,3105358672.0,2583887810.0,,,,,0.983,0.0,40.0,0.0,0.0
